Time,Var2,Var3,Var4,Var5,Var6,Var7,LABEL
0.3691,3534.991073,-18779.38189,15200.4025,11.18702113,-2.933709715,18.51870574,0
0.36915,3903.355141,-18902.62994,14955.23782,11.41725305,-3.013975154,18.36076893,0
0.3692,4271.855428,-19019.90062,14704.02107,11.64660315,-3.090005886,18.19948781,0
0.36925,4637.358762,-19129.70818,14448.28568,11.87498399,-3.161773708,18.03492076,0
0.3693,5002.595227,-19233.39797,14186.73794,12.10232072,-3.229256949,17.8671223,0
0.36935,5364.780161,-19329.63495,13920.76905,12.32852025,-3.292427514,17.69615557,0
0.3694,5726.177274,-19419.57216,13649.28607,12.55351456,-3.351269173,17.52207457,0
0.36945,6084.579129,-19502.12368,13373.43948,12.77720616,-3.405754431,17.3449468,0
0.3695,6441.581035,-19578.161,13092.42637,12.99953256,-3.455872181,17.1648262,0
0.36955,6795.724233,-19646.92625,12807.07741,13.22039365,-3.501596236,16.98178413,0
0.3696,7147.799294,-19708.94221,12516.94679,13.43973086,-3.54292019,16.79587512,0
0.36965,7497.1952,-19763.83348,12222.49093,13.65744348,-3.579819984,16.60717373,0
0.3697,7843.838622,-19811.73363,11923.66142,13.87347501,-3.612293358,16.41573579,0
0.36975,8187.985379,-19852.67564,11620.51446,14.08772637,-3.640319268,16.22163831,0
0.3698,8528.719789,-19886.39326,11313.40954,14.30014126,-3.663898928,16.0249391,0
0.36985,8867.104186,-19913.32294,11002.00733,14.51062432,-3.683015152,15.82571674,0
0.3699,9201.478202,-19932.81917,10687.05454,14.71911774,-3.697671847,15.62403174,0
0.36995,9533.579368,-19945.68581,10367.85223,14.92553171,-3.707856457,15.41996331,0
0.37,9861.16449,-19950.94928,10045.483,15.12980554,-3.713574759,15.21357519,0
0.37005,10186.45902,-19949.71533,9718.953635,15.33185627,-3.714819442,15.00494634,0
0.3701,10506.8453,-19940.76113,9389.603592,15.53161943,-3.71159736,14.79414425,0
0.37015,10824.81327,-19925.40347,9056.23612,15.72901968,-3.703906914,14.5812468,0
0.3702,11137.60436,-19902.27145,8720.346159,15.92398837,-3.691755379,14.36632556,0
0.37025,11447.73564,-19872.78335,8380.64281,16.11645791,-3.675147117,14.14945681,0
0.3703,11752.54378,-19835.53593,8038.660594,16.3063556,-3.654089403,13.93071636,0
0.37035,12054.34406,-19791.92941,7693.133842,16.49362117,-3.62859262,13.71017859,0
0.3704,12350.78563,-19740.64895,7345.515726,16.67817853,-3.598663914,13.48792354,0
0.37045,12643.78171,-19682.95739,6994.684962,16.8599738,-3.564319512,13.26402378,0
0.3705,12931.47368,-19617.74345,6641.898038,17.03892854,-3.525566626,13.03856329,0
0.37055,13215.21756,-19546.02423,6286.286235,17.21499401,-3.482426955,12.81161322,0
0.3706,13493.77527,-19466.99093,5928.810221,17.38809079,-3.434908305,12.58326103,0
0.37065,13767.84689,-19381.32769,5568.940868,17.55817385,-3.383037261,12.35357706,0
0.3707,14036.88326,-19288.60147,5207.269544,17.72516439,-3.326823016,12.12265154,0
0.37075,14300.89177,-19189.10585,4843.664111,17.88901959,-3.266296316,11.89055483,0
0.3708,14560.01792,-19082.82391,4478.306047,18.04966297,-3.201468701,11.65737897,0
0.37085,14813.60151,-18969.63643,4111.482196,18.20705251,-3.132374205,11.42319523,0
0.3709,15062.42876,-18849.94589,3742.960615,18.36111563,-3.059027729,11.18809642,0
0.37095,15305.2532,-18723.2359,3373.431275,18.51180998,-2.981465672,10.9521555,0
0.371,15543.39619,-18590.29394,3002.282978,18.65906827,-2.899707245,10.71546498,0
0.37105,15775.15233,-18450.25863,2630.556321,18.80284691,-2.813790289,10.47810021,0
0.3711,16002.23296,-18304.23333,2257.329725,18.94308494,-2.723739101,10.24015233,0
0.37115,16222.63347,-18151.09589,1883.909973,19.07973704,-2.62959216,10.00169958,0
0.3712,16438.28535,-17992.16795,1509.162384,19.21274923,-2.531379417,9.762830836,0
0.37125,16647.06115,-17826.17495,1134.551291,19.34207435,-2.42913936,9.523627544,0
0.3713,16850.93413,-17654.5399,758.8456178,19.4676656,-2.322907889,9.284175642,0
0.37135,17047.8308,-17475.9583,383.5444376,19.58947423,-2.212723138,9.04455981,0
0.3714,17239.59528,-17291.82897,7.445578952,19.70746039,-2.098626961,8.804862753,0
0.37145,17424.36985,-17100.94284,-368.0427559,19.82157432,-1.980657075,8.565172166,0
0.3715,17603.72038,-16904.552,-743.971581,19.93178249,-1.858861016,8.325567563,0
0.37155,17776.13888,-16701.65929,-1119.140311,20.038035,-1.733276347,8.086139206,0
0.3716,17942.79699,-16493.26204,-1494.341051,20.14030381,-1.603955774,7.846963794,0
0.37165,18102.63291,-16278.67162,-1868.677754,20.23853988,-1.470937272,7.60813349,0
0.3717,18256.34879,-16058.54732,-2242.600579,20.33271964,-1.334277995,7.369722828,0
0.37175,18403.3826,-15832.5766,-2615.585883,20.42279606,-1.194017133,7.131825017,0
0.3718,18543.93571,-15601.03016,-2987.691594,20.50874897,-1.050215392,6.894513282,0
0.37185,18677.95545,-15364.0034,-3358.798639,20.59053446,-0.90291411,6.657880898,0
0.3719,18805.1541,-15121.36564,-3728.560251,20.66813472,-0.752176545,6.422000726,0
0.37195,18925.95683,-14873.6131,-4097.255056,20.74150996,-0.598047157,6.186965063,0
