Time,Var2,Var3,Var4,Var5,Var6,Var7,LABEL
0.5474,-19725.46453,12405.43462,7317.223172,-12.2144548,8.111597311,4.895489958,0
0.54745,-19775.59648,12107.40815,7667.430175,-12.24749177,7.924201235,5.115782751,0
0.5475,-19821.9765,11808.48638,8011.043597,-12.27609063,7.734059764,5.334347858,0
0.54755,-19858.22737,11501.52856,8355.533278,-12.30022339,7.541284366,5.551120956,0
0.5476,-19890.25785,11194.6965,8693.560091,-12.31990392,7.3459014,5.766005331,0
0.54765,-19912.70374,10879.38078,9031.68995,-12.33509394,7.148010391,5.978954027,0
0.5477,-19930.22785,10564.91807,9363.787191,-12.3458223,6.947655159,6.18985728,0
0.54775,-19938.92914,10241.86454,9694.958309,-12.35204404,6.744919635,6.398682161,0
0.5478,-19941.85041,9920.033127,10020.75145,-12.35379914,6.539868335,6.605309782,0
0.54785,-19936.84419,9589.89467,10344.41887,-12.3510403,6.332567244,6.80971687,0
0.5479,-19925.13179,9260.953136,10663.49518,-12.34381426,6.123103318,7.011780133,0
0.54795,-19906.42913,8924.398406,10979.17333,-12.33207606,5.911523862,7.211481052,0
0.548,-19880.11818,8588.618822,11291.08034,-12.31587466,5.697938231,7.408696943,0
0.54805,-19847.70622,8246.313368,11598.34336,-12.29517201,5.482376121,7.603409121,0
0.5481,-19806.89337,7903.999056,11902.59234,-12.2700151,5.26496733,7.79550032,0
0.54815,-19760.7417,7556.5864,12201.06953,-12.2403767,5.045726826,7.984947253,0
0.5482,-19705.57677,7208.088794,12497.14344,-12.20629843,4.824801036,8.171642221,0
0.54825,-19645.64733,6856.173284,12786.51074,-12.16776676,4.602194734,8.355553787,0
0.5483,-19576.32197,6501.906059,13073.87555,-12.12481561,4.378065539,8.536586968,0
0.54835,-19502.58106,6146.039284,13353.84427,-12.07744685,4.15241387,8.714699813,0
0.5484,-19419.3159,5786.488096,13631.96234,-12.02568556,3.925401913,8.889811969,0
0.54845,-19331.74697,5427.160371,13902.26645,-11.96954936,3.697032378,9.06186995,0
0.5485,-19234.77871,5062.886905,14170.61052,-11.90905462,3.467464766,9.230808633,0
0.54855,-19133.39445,4700.524872,14430.99413,-11.84423381,3.236710933,9.396563316,0
0.5486,-19022.96424,4332.164449,14689.06049,-11.77509587,3.004920479,9.559083459,0
0.54865,-18907.8167,3967.135269,14939.26669,-11.70168612,2.772120808,9.718294674,0
0.5487,-18784.16096,3595.387877,15186.58626,-11.62400825,2.538445112,9.874159291,0
0.54875,-18655.34881,3228.009795,15426.34848,-11.54211768,2.303941664,10.02659573,0
0.5488,-18518.69321,2853.625092,15662.49502,-11.45601562,2.068722089,10.17557668,0
0.54885,-18376.36548,2484.183519,15891.53159,-11.3657644,1.832859196,10.3210165,0
0.5489,-18226.92249,2107.940985,16116.12637,-11.27136579,1.596439763,10.4628953,0
0.54895,-18071.27872,1736.70864,16334.13863,-11.17288572,1.359562732,10.60112681,0
0.549,-17909.2487,1359.394596,16546.85156,-11.07032952,1.122288978,10.73569545,0
0.54905,-17740.53571,986.6537765,16753.52534,-10.96376365,0.884742875,10.86651767,0
0.5491,-17566.11091,609.0373466,16954.07288,-10.85319961,0.646960717,10.99357937,0
0.54915,-17384.61691,235.1021522,17149.08288,-10.73870191,0.409089295,11.11680268,0
0.5492,-17197.98786,-142.0875924,17337.22335,-10.62029012,0.171143934,11.23617258,0
0.54925,-17004.03464,-516.8513103,17520.23965,-10.49802507,-0.066711281,11.35161927,0
0.5493,-16805.39772,-892.9448638,17695.7667,-10.3719356,-0.304476386,11.46312505,0
0.54935,-16599.33211,-1268.103877,17866.46263,-10.24207791,-0.54197681,11.57062981,0
0.5494,-16388.89745,-1642.505588,18029.19795,-10.10849046,-0.77922084,11.67411211,0
0.54945,-16171.08287,-2017.549633,18187.25809,-9.971224723,-1.016031317,11.77352237,0
0.5495,-15949.08153,-2389.745391,18337.04419,-9.830328413,-1.252416823,11.86883507,0
0.54955,-15719.89069,-2764.08457,18482.17189,-9.685848816,-1.488205886,11.96001119,0
0.5496,-15486.58033,-3133.642131,18618.86577,-9.537841922,-1.723399304,12.04702143,0
0.54965,-15246.38962,-3506.611759,18750.78941,-9.386351992,-1.957839211,12.12983677,0
0.5497,-15002.05823,-3873.173682,18874.2577,-9.231441865,-2.191511171,12.20842488,0
