Time,Var2,Var3,Var4,Var5,Var6,Var7
0.1,-12412.2055644724,-7708.44949022145,20120.6550546949,-7.84378902327995,-4.34430925444835,12.1880982776008
0.10005,-12107.1505330364,-8061.10366402121,20168.2541970587,-7.66108148872646,-4.56315942569112,12.2242409142901
0.1001,-11797.7942967065,-8410.89328245826,20208.6875791659,-7.47561674694475,-4.78035747581754,12.2559742226349
0.10015,-11484.246773334,-8757.69407186472,20241.9408451999,-7.28746173345724,-4.99582532838984,12.2832870617198
0.1002,-11166.6193698047,-9101.38282114481,20268.0021909506,-7.09668459018342,-5.20948539013623,12.3061699801924
0.10025,-10845.0249423,-9441.83742480808,20286.8623671092,-6.90335415111229,-5.42126087518401,12.3246150261691
0.1003,-10519.5777562524,-9778.93692709875,20298.5146833523,-6.70754040743246,-5.6310755444624,12.3386159517677
0.10035,-10190.393445637,-10112.5615641834,20302.9550098215,-6.5093139905192,-5.83885401420025,12.3481680045924
0.1004,-9857.58897192051,-10442.592807447,20300.1817793686,-6.30874663783137,-6.04452150987164,12.353268147576
0.10045,-9521.28258245122,-10768.913404782,20290.1959872344,-6.10591067409166,-6.24800415844256,12.3539148324072
0.1005,-9181.59376846804,-11091.4074229997,20273.0011914689,-5.90087947744412,-6.44922875716174,12.3501082344789
0.10055,-8838.64322265004,-11409.9602881737,20248.6035108248,-5.69372695970911,-6.6481230491445,12.3418500087267
0.1006,-8492.55279624447,-11724.4588271189,20217.0116233645,-5.48452803227329,-6.84461550737458,12.3291435395211
0.10065,-8143.44545583221,-12034.7913067458,20178.2367625791,-5.27335808625706,-7.03863559331312,12.3119936794434
0.1007,-7791.44523962772,-12340.8474745596,20132.2927141884,-5.06029345754689,-7.23011355652321,12.2904070139434
0.10075,-7436.67721351149,-12642.5185969782,20079.1958104908,-4.84541090763951,-7.41898067606375,12.2643915835766
0.1008,-7079.26742655197,-12939.6974988017,20018.9649253547,-4.62878808714676,-7.60516907615701,12.2339571631771
0.10085,-6719.34286635513,-13232.2786004431,19951.6214667994,-4.4105030180017,-7.78861195015726,12.1991149680324
0.1009,-6357.03141385944,-13520.1579563123,19877.1893701729,-4.1906345546952,-7.96924339264457,12.1598779472132
0.10095,-5992.46179805516,-13803.2332909033,19795.6950889595,-3.96926186846976,-8.1469986057472,12.1162604740904
0.101,-5625.76355010802,-14081.4040360311,19707.1675861402,-3.74646490550717,-8.32181374796932,12.06827865335
0.10105,-5257.06695750697,-14354.5713657167,19611.6383232247,-3.52232387371317,-8.49362612260732,12.015949996194
0.1011,-4886.50301757933,-14622.6382322133,19509.1412497938,-3.29691969707898,-8.6623740435235,11.9592937404761
0.10115,-4514.20339113319,-14885.5093996275,19399.7127907618,-3.07033350567783,-8.82799700535137,11.8983305109028
0.1012,-4140.30035543396,-15143.091478673,19283.391834108,-2.84264708546806,-8.99043556633561,11.8330826516773
0.10125,-3764.92675741416,-15395.2929589703,19160.2197163855,-2.61394237217229,-9.14963149999252,11.7635738720385
0.1013,-3388.21596618748,-15642.0242424705,19030.240208659,-2.38430189586124,-9.30552769506973,11.6898295908047
0.10135,-3010.30182590256,-15883.1976743815,18893.4995002851,-2.1538082794489,-9.45806828833202,11.6118765676546
